MUNICIPIO,ID_IBGE,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,LAT_GOOGLE,LON_GOOGLE,LATITUDE,LONGITUDE
ALTINOPOLIS,3501004,350100,GVE 24 RIBEIRAO PRETO,HOSPITAL DE MISERICÓRDIA - ALTINÓPOLIS,"RUA CORONEL JOAQUIM ALBERTO, 421, CENTRO",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",1,(16) 3665-7200 / 3665-9624,-21.02689125,-47.37591692270450,-21.02689,-47.37591
ALTO ALEGRE,3501103,350110,GVE 11 ARACATUBA,HOSPITAL PADRE JOÃO W. BRAEM,"RUA FLORIANO PEIXOTO, 149 - ALTO ALEGRE - SP, 16310-000",0,,1,(18) 3657-1207,-21.581008656035,-50.16677487980839,-21.58100,-50.16677
ALUMINIO,3501152,350115,GVE 31 SOROCABA,PRONTO ATENDIMENTO MUNICIPAL ALUMINIO,"RUA ALBERTO BERTELLI, 300 - VILA PEDÁGIO, ALUMÍNIO - SP, 18125-000",0,,1,(11) 4715-7166,-23.517248461234036,-47.25400717545306,-23.51724,-47.25400
ALVARES FLORENCE,3501202,350120,GVE 29 SAO JOSE DO RIO PRETO,POSTO DE ATENDIMENTO A SAUDE ORLANDO MARANGAO,"RUA 13 DE MAIO, 196 - BOA VISTA DOS ANDRADAS, ÁLVARES FLORENCE - SP, 15540-000",0,,0,(17) 3486-6102,-20.201171430375144,-49.87446419089624,-20.20117,-49.87446
ALVARES MACHADO,3501301,350130,GVE 21 PRESIDENTE PRUDENTE,SANTA CASA DE ALVARES MACHADO,"R. Monsenhor Nakamura, S/N - CENTRO, Álvares Machado - SP, 19160-000",0,,1,(18) 3273-1605,-22.079931590073800,-51.47469490165730,-22.07993,-51.47469
ALVARO DE CARVALHO,3501400,350140,GVE 19 MARILIA,CS DE ALVARO CARVALHO,"RUA JOAQUIM BRONZE MENDES, 55 - ÁLVARO DE CARVALHO - SP, 17410-027",0,,0,(14) 3484-1147,-22.07936024951962,-49.72166554666219,-22.07936,-49.72166
ALVINLANDIA,3501509,350150,GVE 19 MARILIA,CS ALVINLANDIA,"RUA AMADEU CRIPPA - JARDIM SÃO RAFAEL, ALVINLÂNDIA - SP, 17430-000",0,,0,-,-22.438024081133396,-49.767991287128794,-22.43802,-49.76799
AMERICANA,3501608,350160,GVE 17 CAMPINAS,HOSPITAL MUNICIPAL WALDEMAR TEBALDI,"AV. DA SAÚDE, 415, JD. N. SRA. FÁTIMA",1,ESCORPIÔNICO E ARACNÍDICO.,1,(19) 3471-6750,-22.74230544163490,-47.308851425209700,-22.74230,-47.30885
AMERICO BRASILIENSE,3501707,350170,GVE 12 ARARAQUARA,HOSPITAL ESTADUAL AMERICO BRASILIENSE,"Alameda Aldo Lupo, 1260 - Vila Cerqueira, Américo Brasiliense - SP, 14820-450",0,,1,(16) 3393-7800,-21.740917130061100,-48.12142276986170,-21.74091,-48.12142
AMERICO DE CAMPOS,3501806,350180,GVE 29 SAO JOSE DO RIO PRETO,CS DE AMERICO DE CAMPOS,"RUA SÃO JOÃO, 617 - AMÉRICO DE CAMPOS - SP, 15550-000",0,,1,(17) 3445-1206,-20.29764311690722,-49.73355047369934,-20.29764,-49.73355
AMPARO,3501905,350190,GVE 17 CAMPINAS,SANTA CASA ANNA CINTRA - AMPARO,"RUA ANNA CINTRA, 332",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",1,(19) 3807-4477,-22.696788619710800,-46.768281860135700,-22.69678,-46.76828
ANALANDIA,3502002,350200,GVE 20 PIRACICABA,CENTRO DE SAUDE DE ANALANDIA,"AVENIDA 12, 235 - ANALÂNDIA - SP, 13550-000",0,,1,(19) 3566-9100,-22.122566083053997,-47.665185900094194,-22.12256,-47.66518
ANDRADINA,3502101,350210,GVE 11 ARACATUBA,SANTA CASA DE ANDRADINA,"AV. GUANABARA, 730",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",1,(18) 3702-1100,-20.893749913977604,-51.37459993505575,-20.89374,-51.37459
ANGATUBA,3502200,350220,GVE 31 SOROCABA,SANTA CASA DE ANGATUBA,"PRAÇA LEVI LISBOA, Nº 1202",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",1,(15) 3255-1055,-23.492324034229632,-48.41491520243889,-23.49232,-48.41491
ANHEMBI,3502309,350230,GVE 16 BOTUCATU,PRONTO ATENDIMENTO DE ANHEMBI,"RUA PRUDENTE DE MORAES, 337 - CENTRO, ANHEMBI - SP, 18620-000",0,,1,(14) 3884-1133,-22.789527953918046,-48.126145590819704,-22.78952,-48.12614
ANHUMAS,3502408,350240,GVE 21 PRESIDENTE PRUDENTE,UBS MARINA CEOLIN LOPES DE ANHUMAS,"RUA VICENTE LOPES RAMON, 581-681 - CENTRO, ANHUMAS - SP, 19580-000",0,,0,(18) 3286-1221,-22.29644471744367,-51.3864862780965,-22.29644,-51.38648
APARECIDA,3502507,350250,GVE 33 TAUBATE,SANTA CASA DE MISERICORDIA DE APARECIDA,"R. Barão do Rio Branco, 470 - Centro, Aparecida - SP, 12570-000",0,,1,(12) 3104-5555,-22.84038562832817,-45.2271066349973,-22.84038,-45.22710
APARECIDA DOESTE,3502606,350260,GVE 30 JALES,SANTA CASA DE APARECIDA DOESTE,"R. São Paulo, 1235 - Centro, Aparecida d'Oeste - SP, 15735-000",0,,1,(17) 3635-1122,-20.44975678537035,-50.87917244670999,-20.44975,-50.87917
APIAI,3502705,350270,GVE 32 ITAPEVA,HOSPITAL DOUTOR ADEMAR DE BARROS - APIAÍ,"R. PRIMEIRO DE MAIO, 336 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(15) 3552-1266,-24.515251252520486,-48.842893019599714,-24.51525,-48.84289
ARACARIGUAMA,3502754,350275,GVE 31 SOROCABA,PRONTO ATENDIMENTO DE ARACARIGUAMA,"AVENIDA DEZENOVE DE MAIO, 02 - CENTRO, ARAÇARIGUAMA - SP, 18147-000",0,,1,(11) 4136-1010,-23.43790819388943,-47.0611780773067,-23.43790,-47.06117
ARACATUBA,3502804,350280,GVE 11 ARACATUBA,SANTA CASA DE MISERICÓRDIA DE ARAÇATUBA,"RUA FLORIANO PEIXOTO, 896 VILA MENDONÇA",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ARACNÍDICO, ESCORPIÔNICO E LONÔMICO.",1,(18) 3607-3000,-21.20477146258383,-50.43011569577378,-21.20477,-50.43011
ARACOIABA DA SERRA,3502903,350290,GVE 31 SOROCABA,UNIDADE DE PRONTO ATENDIMENTO DE ARACOIABA DA SERRA,"RUA DR. AFONSO VERGUEIRO, S/N - CENTRO, ARAÇOIABA DA SERRA - SP, 18190-000",0,,1,(15) 3281-7160,-23.50539043160785,-47.6182071042894,-23.50539,-47.61820
ARAMINA,3503000,350300,GVE 18 FRANCA,UBS CENTRO DE SAÚDE ARAMINA,"RUA HENRIQUE JORGE HAUCH - ARAMINA - SP, 14550-000",0,,1,(16) 3752-7030,-20.085220249392627,-47.78762490439195,-20.08522,-47.78762
ARANDU,3503109,350310,GVE 16 BOTUCATU,HOSPITAL SAO VICENTE DE PAULA DE ARANDU,"R. Dezenove de Março, 731 - Centro, Arandu - SP, 18710-000",0,,1,(14) 3766-1157,-23.084523610104135,-49.05772618807278,-23.08452,-49.05772
ARAPEI,3503158,350315,GVE 33 TAUBATE,UBS DE ARAPEÍ DR HAROLDO VIANA RODRIGUES,"RUA SERGIO ANTÔNIO GOMES VIANA, 130 - ARAPEÍ - SP, 12870-000",0,,1,(12) 3115-1435,-22.671909682011574,-44.4475569196592,-22.67190,-44.44755
ARARAQUARA,3503208,350320,GVE 12 ARARAQUARA,UPA CENTRAL AMELIA BERNARDINO CUTRALE,"AV MARIA ANTONIA CAMARGO DE OLIVEIRA, 3821 - VILA FERROVIARIA",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ARACNÍDICO, ESCORPIÔNICO E LONÔMICO.",1,(16) 3334-6900,-21.77325515792944,-48.1673119927017,-21.77325,-48.16731
ARARAS,3503307,350330,GVE 20 PIRACICABA,SANTA CASA DE MISERICÓRDIA,"PRAÇA DR. NARCISO GOMES, 49",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(19) 3543-5400,-22.357385075836383,-47.379897327608624,-22.35738,-47.37989
ARCO IRIS,3503356,350335,GVE 19 MARILIA,UBS ANTÔNIO CURADOR,"RUA FRANCISCO MORALES ESCUBERO - ARCO-ÍRIS - SP, 17630-000",0,,0,(14) 3477-1212,-21.772947873263597,-50.46770222640486,-21.77294,-50.46770
AREALVA,3503406,350340,GVE 15 BAURU,SANTA CASA DE MISERICORDIA DE AREALVA,"R. Jacinto Ribeiro de Barros, 342 - Centro, Arealva - SP, 17160-000",0,,1,(14) 3296-1222,-22.029434523751945,-48.90795468899212,-22.02943,-48.90795
AREIAS,3503505,350350,GVE 33 TAUBATE,PRONTO SOCORRO MUNICIPAL AREIAS,"RUA PREFEITO BENEDITO DE OLIVEIRA RAMOS, 32 - AREIAS - SP, 12820-000",0,,1,(12) 3107-1157,-22.58129332220797,-44.69374927309594,-22.58129,-44.69374
AREIOPOLIS,3503604,350360,GVE 16 BOTUCATU,UNIDADE MISTA DE SAUDE DE AREIOPOLIS,"RUA VEREADOR IGNÁCIO LEITE, 800 - NÚCLEO HABITACIONAL COMENDADOR JOSÉ ZILLO, AREIÓPOLIS - SP, 18670-000",0,,1,(14) 3846-9808,-22.677089315828574,-48.666362175136264,-22.67708,-48.66636
ARIRANHA,3503703,350370,GVE 29 SAO JOSE DO RIO PRETO,HOSPITAL JULIA RUETE ARIRANHA,"RUA SIQUEIRA CAMPOS, 29 - CENTRO, ARIRANHA - SP, 15960-000",0,,1,(17) 3576-1305,-21.188699024362183,-48.78484468716629,-21.18869,-48.78484
ARTUR NOGUEIRA,3503802,350380,GVE 17 CAMPINAS,HOSPITAL E MATERNIDADE DE ARTUR NOGUEIRA,"Av. Dr. Fernando Arens, 939 - Santo Amaro, Artur Nogueira - SP, 13160-000",0,,1,(19) 3827-7000,-22.573139150688093,-47.176215665676615,-22.57313,-47.17621
ARUJA,3503901,350390,GVE 8 MOGI DAS CRUZES,HOSPITAL DALILA FERREIRA BARBOSA,"R. Maria de Lourdes Maxim, 75 - Jardim Renata, Arujá - SP, 07402-015",0,,1,(11) 4652-3000,-23.392465239082803,-46.31476855032323,-23.39246,-46.31476
ASPASIA,3503950,350395,GVE 30 JALES,UBS DE ASPASIA,"AVENIDA BRASIL, 476 - CENTRO, ASPÁSIA - SP, 15763-000",0,,0,(17) 3664-8787,-20.161775999761502,-50.72587046098525,-20.16177,-50.72587
ASSIS,3504008,350400,GVE 13 ASSIS,UPA DE ASSIS,"RUA OSMAR LUCHINI, 670",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(18) 3222-3553 / 3302-6069,-22.646218845120536,-50.40328102151104,-22.64621,-50.40328
ATIBAIA,3504107,350410,GVE 17 CAMPINAS,SANTA CASA DE ATIBAIA,"PRAÇA DR. MIGUEL VAIRO, 104",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(11) 4411-0062,-23.11425683676962,-46.55003363128676,-23.11425,-46.55003
AURIFLAMA,3504206,350420,GVE 11 ARACATUBA,SANTA CASA DE AURIFLAMA,"RUA ALFREDO DAINESI, 59-52",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",1,(17) 842-1282,-20.684876427188726,-50.55511434855432,-20.68487,-50.55511
AVAI,3504305,350430,GVE 15 BAURU,CENTRO DE SAUDE DE AVAI,"PRAÇA MAJOR GASPARINO QUADROS, 460 - AVAÍ - SP, 16680-000",0,,1,(14) 3287-1465,-22.147589114379024,-49.338292796543406,-22.14758,-49.33829
AVANHANDAVA,3504404,350440,GVE 11 ARACATUBA,UNIDADE MISTA DE AVANHANDAVA,"RUA AVANHANDAVA, 269 - AVANHANDAVA - SP, 16360-000",0,,1,-,-21.458096402820527,-49.95006959086009,-21.45809,-49.95006
AVARE,3504503,350450,GVE 16 BOTUCATU,SANTA CASA DE MISERICÓRDIA DE AVARÉ,"R. PARAÍBA, Nº 1003 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(14) 3711-9100,-23.10102694554471,-48.928587719645634,-23.10102,-48.92858
BADY BASSITT,3504602,350460,GVE 29 SAO JOSE DO RIO PRETO,PRONTO ATENDIMENTO ALCIMINO ASSIS LOURENCO,"RUA CASTRO ALVES, 1462 - BADY BASSITT - SP, 15115-000",0,,1,-,-20.917.334.524.331.600,-4.944.836.442.421.760,-20.91733,-49.44836
BALBINOS,3504701,350470,GVE 15 BAURU,CENTRO DE SAUDE III DE BALBINOS,"RUA GABRIEL DANUZIO - BALBINOS - SP, 16640-000",0,,0,(14) 3583-1394,-21.899.778.087.748.100,-4.935.603.891.783.190,-21.89977,-49.35603
BALSAMO,3504800,350480,GVE 29 SAO JOSE DO RIO PRETO,UNIDADE DE URGENCIA E EMERGENCIA DR LUIZ ALBERTO DO AMARAL,"RUA LOURENÇA DIOGO AYALA, 489 - BÁLSAMO - SP, 15140-000",0,,1,(17) 3264-1320,-20.736.702.611.878.500,-4.958.106.201.971.690,-20.73670,-49.58106
BANANAL,3504909,350490,GVE 33 TAUBATE,UNIDADE MISTA DE SAÚDE MONS CID FRANCA SANTOS,AV. BOM JESUS 134 - CENTRO - CEP 12.850-000,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",1,(12) 3116-2188 / (12) 3116-3117,-22.681.053.501.430.200,-44.319.784.133.151.400,-22.68105,-44.31978
BARAO DE ANTONINA,3505005,350500,GVE 16 BOTUCATU,CENTRO DE SAUDE BARAO DE ANTONINA,"RUA SÃO PAULO - CENTRO, BARÃO DE ANTONINA - SP, 18490-045",0,,0,(15) 3573-1296,-23.629.008.790.591.600,-49.563.804.279.419.300,-23.62900,-49.56380
BARBOSA,3505104,350510,GVE 11 ARACATUBA,CENTRO DE SAUDE DE BARBOSA,"AVENIDA DONA RICARDINA, 645 - CENTRO, BARBOSA - SP, 16350-000",0,,1,(18) 3655-1408,-21.265.619.478.337.200,-49.948.649.990.086.800,-21.26561,-49.94864
BARIRI,3505203,350520,GVE 15 BAURU,IRMANDADE DA SANTA CASA DE MISERICORDIA DE BARIRI,"Av. Cel. Antônio José de Carvalho, 409 - Jardim Paraíso, Bariri - SP, 17250-182",0,,1,(14) 3662-6522,-2.206.990.941.150.860,-4.873.764.774.851.350,-22.06990,-48.73764
BARRA BONITA,3505302,350530,GVE 15 BAURU,HOSPITAL E MATERNIDADE SAO JOSE BARRA BONITA,"Rua 14 de Dezembro, 490 - Centro, Barra Bonita - SP, 17340-000",0,,1,(14) 3604-7114,-22.495.058.679.543.300,-4.855.591.573.500.800,-22.49505,-48.55591
BARRA DO CHAPEU,3505351,350535,GVE 32 ITAPEVA,UNIDADE BÁSICA DE SAÚDE GERALDO VITORINO COELHO,"BECO MARIA ISABEL DA ROSA, 40 - CENTRO, BARRA DO CHAPÉU - SP, 18325-000",0,,1,(15) 9969-48985,-24.470.092.923.077.000,-49.024.091.723.672.800,-24.47009,-49.02409
BARRA DO TURVO,3505401,350540,GVE 23 REGISTRO,PRONTO ATENDIMENTO,"VEREADOR FIRMINO PEDROSO DOS SANTOS, 375 - BAIRRO BOA ESPERANÇA",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",1,(15) 3578-9420,-2.475.067.787.827.780,-4.850.528.579.994.130,-24.75067,-48.50528
BARRETOS,3505500,350550,GVE 14 BARRETOS,SANTA CASA DE MISERICÓRDIA DE BARRETOS,AV 23 Nº 1208,1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(17) 3321-2500,-20.559.081.707.190.000,-4.857.376.467.554.270,-20.55908,-48.57376
BARRINHA,3505609,350560,GVE 24 RIBEIRAO PRETO,UNIDADE MISTA DE SAUDE BARRINHA JOSE ATILIO MARCARI,"AVENIDA JAMIL SAID SALEH, 777 - JARDIM PAULISTA, BARRINHA - SP, 14860-000",0,,1,(16) 3943-9180,-21.190.212.196.441.600,-48.160.460.574.354.400,-21.19021,-48.16046
BARUERI,3505708,350570,GVE 10 OSASCO,HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN,"Rua Ângela Mirella, 354 - Jardim Barueri, Barueri - SP, 06463-320",0,,1,(11) 2575-3200,-2.349.641.303.694.030,-4.687.239.594.846.880,-23.49641,-46.87239
BASTOS,3505807,350580,GVE 19 MARILIA,HOSPITAL DE BASTOS,"R. Prof. Paulo Seizi Zakimi, 55 - Centro, Bastos - SP, 17690-000",0,,1,(14) 3478-1096,-2.192.187.943.086.520,-5.073.004.336.386.140,-21.92187,-50.73004
BATATAIS,3505906,350590,GVE 24 RIBEIRAO PRETO,UPA - BATATAIS,"AV. MOACIR DIAS DE MORAIS, 505",1,ESCORPIÔNICO,1,(16) 3761-9474 / 3761-9499,-20.904.353.873.381.900,-4.758.775.800.436.870,-20.90435,-47.58775
BAURU,3506003,350600,GVE 15 BAURU,UPA BELA VISTA (CRIANÇAS DE 0 A 14 ANOS),"RUA MARÇAL DE ARRUDA CAMPOS, Nº 4-45",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, LONÔMICO E ARACNÍDICO.",1,(14) 3102-1213,-22.308.398.227.794.800,-4.908.961.876.014.770,-22.30839,-49.08961
BAURU,3506003,350600,GVE 15 BAURU,PRONTO SOCORRO MUNICIPAL CENTRAL (PACIENTES À PARTIR DE 15 ANOS),"RUA RUBENS ARRUDA, QD. 07, S/N",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO E ARACNÍDICO.",1,(14) 3104-1160,-22.330.609.146.404.500,-4.907.801.638.898.290,-22.33060,-49.07801
BEBEDOURO,3506102,350610,GVE 14 BARRETOS,UPA DR. MANOEL JOAQUIM DOS REIS,"RUA LUIS BRUNELLI, 00 - JARDIM JÚLIA",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(17) 3344-8100,-20.933.061.204.395.000,-4.849.669.539.087.540,-20.93306,-48.49669
BENTO DE ABREU,3506201,350620,GVE 11 ARACATUBA,UBS DR JOSÉ ROSSETO,"RUA DR. JOSÉ ROSSETO, 58 - BENTO DE ABREU - SP, 16790-000",0,,0,(18) 3601-1321,-2.127.110.323.039.810,-50.815.541.731.342.900,-21.27110,-50.81554
BERNARDINO DE CAMPOS,3506300,350630,GVE 13 ASSIS,SANTA CASA HOSPITAL JESUS MARIA JOSE,"Av. Guilherme Arruda Castanho, 469, Bernardino de Campos - SP, 18960-021",0,,1,(14) 3346-1100,-23.016.522.410.999.000,-4.947.373.056.197.670,-23.01652,-49.47373
BERTIOGA,3506359,350635,GVE 25 SANTOS,HOSPITAL MUNICIPAL DE BERTIOGA,PÇA. VICENTE MOLINARI S/Nº,1,"BOTRÓPICO, ARACNÍDICO E ESCORPIÔNICO.",1,(13) 3319-9040,-23.842.720.287.920.900,-46.139.784.534.965.100,-23.84272,-46.13978
BILAC,3506409,350640,GVE 11 ARACATUBA,ASSOCIACAO HOSPITALAR BENEFICENTE DO BRASIL,"Rua 7 de Setembro, 529, Bilac - SP, 16210-000",0,,1,(18) 3659-1243,-22.207.171.185.758.100,-49.650.022.377.345.200,-22.20717,-49.65002
BIRIGUI,3506508,350650,GVE 11 ARACATUBA,PRONTO SOCORRO MUNICIPAL,"RUA LUIZ OBA, 249",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",1,(18) 3638-8580,-21.281.146.630.147.900,-50.335.243.804.358,-21.28114,-50.33524
BIRITIBA MIRIM,3506607,350660,GVE 8 MOGI DAS CRUZES,PRONTO ATENDIMENTO IRIO TAINO,"AVENIDA MARIA JOSÉ DE SIQUEIRA MELO, 682 - JARDIM PAMELA, BIRITIBA MIRIM - SP, 08940-000",0,,1,-,-23.580.155.851.003.200,-4.603.990.008.894.370,-23.58015,-46.03990
BOA ESPERANCA DO SUL,3506706,350670,GVE 12 ARARAQUARA,SANTA CASA SAO VICENTE DE PAULO BOA ESPERANCA DO SUL,"R. Duque de Caxias, 379 - Centro, Boa Esperança do Sul - SP, 14930-000",0,,1,(16) 3346-1103,-21.987.262.264.674.400,-48.386.839.304.336.900,-21.98726,-48.38683
BOCAINA,3506805,350680,GVE 15 BAURU,SANTA CASA DE MISERICORDIA DE BOCAINA,"R. Cerqueira César, 239 - CENTRO, Bocaina - SP, 17240-000",0,,1,(14) 3666-1190,-22.139.674.011.135.000,-48.517.431.688.988.800,-22.13967,-48.51743
BOFETE,3506904,350690,GVE 16 BOTUCATU,UBS BRUNO NOVAES III,"AVENIDA ERNESTO EBÚRNEO, 176-188 - BOFETE - SP, 18590-000",0,,0,(14) 3883-1514,-23.103.642.530.672.000,-4.826.011.139.173.470,-23.10364,-48.26011
BOITUVA,3507001,350700,GVE 31 SOROCABA,HOSPITAL SAO LUIZ,"Rua Benedita Sanson Labronici, 149 - Chácara Labronci, Boituva - SP, 18550-000",0,,1,(15) 3363-8833,-23.289.049.385.706.300,-4.768.090.185.032.650,-23.28904,-47.68090
BOM JESUS DOS PERDOES,3507100,350710,GVE 17 CAMPINAS,UBS CENTRO,"RUA DONÁ BÁRBARA CARDOSO - CENTRO, BOM JESUS DOS PERDÕES - SP, 12955-000",0,,0,(11) 4012-1040,-23.135.954.590.232.000,-4.646.564.150.742.890,-23.13595,-46.46564
BOM SUCESSO DE ITARARE,3507159,350715,GVE 32 ITAPEVA,UNIDADE MARIO ORLANDO ANTUNES,"RUA ANTÔNIO CARLOS RUIVO, 260 - CENTRO, BOM SUCESSO DE ITARARÉ - SP, 18475-000",0,,0,(15) 3533-1319,-24.320.521.388.330.200,-491.438.416.188.548,-24.32052,-49.14384
BORA,3507209,350720,GVE 13 ASSIS,CENTRO DE SAUDE DE BORA,"RUA JOAO MERCI, 150 - CENTRO, BORA",0,,0,(18)3367-1114,-22.270.095.351.586.800,-5.054.563.171.967.160,-22.27009,-50.54563
BORACEIA,3507308,350730,GVE 15 BAURU,PRONTO ATENDIMENTO MUNICIPAL DE BORACEIA,"RUA ANTONIO DE FREITAS PEREIRA,300 - CENTRO, BORACEIA",0,,1,(14)3295-9106,-22.194.560.766.405.300,-4.877.835.173.131.550,-22.19456,-48.77835
BORBOREMA,3507407,350740,GVE 12 ARARAQUARA,HOSPITAL SAO SEBASTIAO DE BORBOREMA,"R. Pedro José Passos, 400 - JAD PRIMAVERA, Borborema - SP, 14955-000",0,,1,(16) 3266-1011,-21.616.324.714.425.500,-4.906.879.784.667.620,-21.61632,-49.06879
BOREBI,3507456,350745,GVE 15 BAURU,CENTRO DE SAUDE III BOREBI,"RUA SETE DE SETEMBRO - CENTRO, BOREBI - SP, 18675-007",0,,0,(14) 3267-1121,-22.573.676.462.904.300,-48.973.891.961.990.500,-22.57367,-48.97389
BOTUCATU,3507506,350750,GVE 16 BOTUCATU,HOSPITAL DAS CLÍNICAS DE BOTUCATU – UNESP,"DISTRITO DE RUBIÃO JUNIOR, S/Nº",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, LAQUÉTICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(14) 3811-6129,-22.890.874.087.892.100,-4.849.682.863.374.030,-22.89087,-48.49682
