Unidade de Saúde,GVE,Cidade,Endereço,Soro,Tipos de Soro,Telefone,latitude,longitude,24h
CS DE ALVARO CARVALHO,GVE 19 MARILIA,ALVARO DE CARVALHO,"RUA JOAQUIM BRONZE MENDES, 55 - ÁLVARO DE CARVALHO - SP, 17410-027",0,,1434841147,-22.07936024951962,-49.72166554666219,0
CS ALVINLANDIA,GVE 19 MARILIA,ALVINLANDIA,"RUA AMADEU CRIPPA - JARDIM SÃO RAFAEL, ALVINLÂNDIA - SP, 17430-000",0,,-,-22.438024081133396,-49.767991287128794,0
HOSPITAL MUNICIPAL WALDEMAR TEBALDI,GVE 17 CAMPINAS,AMERICANA,"AV. DA SAÚDE, 415, JD. N. SRA. FÁTIMA",1,ESCORPIÔNICO E ARACNÍDICO.,(19) 3471-6750,-22.74230544163490,-47.308851425209700,1
HOSPITAL ESTADUAL AMERICO BRASILIENSE,GVE 12 ARARAQUARA,AMERICO BRASILIENSE,"Alameda Aldo Lupo, 1260 - Vila Cerqueira, Américo Brasiliense - SP, 14820-450",0,,(16) 3393-7800,-21.740917130061100,-48.12142276986170,1
CS DE AMERICO DE CAMPOS,GVE 29 SAO JOSE DO RIO PRETO,AMERICO DE CAMPOS,"RUA SÃO JOÃO, 617 - AMÉRICO DE CAMPOS - SP, 15550-000",0,,1734451206,-20.29764311690722,-49.73355047369934,1
SANTA CASA ANNA CINTRA - AMPARO,GVE 17 CAMPINAS,AMPARO,"RUA ANNA CINTRA, 332",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(19) 3807-4477,-22.696788619710800,-46.768281860135700,1
CENTRO DE SAUDE DE ANALANDIA,GVE 20 PIRACICABA,ANALANDIA,"AVENIDA 12, 235 - ANALÂNDIA - SP, 13550-000",0,,1935669100,-22.122566083053997,-47.665185900094194,1
SANTA CASA DE ANDRADINA,GVE 11 ARACATUBA,ANDRADINA,"AV. GUANABARA, 730",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(18) 3702-1100,-20.893749913977604,-51.37459993505575,1
SANTA CASA DE ANGATUBA,GVE 31 SOROCABA,ANGATUBA,"PRAÇA LEVI LISBOA, Nº 1202",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",(15) 3255-1055,-23.492324034229632, -48.41491520243889,1
PRONTO ATENDIMENTO DE ANHEMBI,GVE 16 BOTUCATU,ANHEMBI,"RUA PRUDENTE DE MORAES, 337 - CENTRO, ANHEMBI - SP, 18620-000",0,,1438841133,-22.789527953918046,-48.126145590819704,1
UBS MARINA CEOLIN LOPES DE ANHUMAS,GVE 21 PRESIDENTE PRUDENTE,ANHUMAS,"RUA VICENTE LOPES RAMON, 581-681 - CENTRO, ANHUMAS - SP, 19580-000",0,,1832861221,-22.29644471744367,-51.3864862780965,0
SANTA CASA DE MISERICORDIA DE APARECIDA,GVE 33 TAUBATE,APARECIDA,"R. Barão do Rio Branco, 470 - Centro, Aparecida - SP, 12570-000",0,,(12) 3104-5555,-22.84038562832817,-45.2271066349973,1
SANTA CASA DE APARECIDA DOESTE,GVE 30 JALES,APARECIDA D'OSTE,"R. São Paulo, 1235 - Centro, Aparecida d'Oeste - SP, 15735-000",0,,(17) 3635-1122,-20.44975678537035,-50.87917244670999,1
HOSPITAL DOUTOR ADEMAR DE BARROS - APIAÍ,GVE 32 ITAPEVA,APIAI,"R. PRIMEIRO DE MAIO, 336 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(15) 3552-1266,-24.515251252520486,-48.842893019599714,1
PRONTO ATENDIMENTO DE ARACARIGUAMA,GVE 31 SOROCABA,ARACARIGUAMA,"AVENIDA DEZENOVE DE MAIO, 02 - CENTRO, ARAÇARIGUAMA - SP, 18147-000",0,,1141361010,-23.43790819388943,-47.0611780773067,1
SANTA CASA DE MISERICÓRDIA DE ARAÇATUBA,GVE 11 ARACATUBA,ARACATUBA,"RUA FLORIANO PEIXOTO, 896 VILA MENDONÇA",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ARACNÍDICO, ESCORPIÔNICO E LONÔMICO.",(18) 3607-3000,-21.20477146258383,-50.43011569577378,1
UNIDADE DE PRONTO ATENDIMENTO DE ARACOIABA DA SERRA,GVE 31 SOROCABA,ARACOIABA DA SERRA,"RUA DR. AFONSO VERGUEIRO, S/N - CENTRO, ARAÇOIABA DA SERRA - SP, 18190-000",0,,1532817160,-23.50539043160785,-47.6182071042894,1
UBS CENTRO DE SAÚDE ARAMINA,GVE 18 FRANCA,ARAMINA,"RUA HENRIQUE JORGE HAUCH - ARAMINA - SP, 14550-000",0,,1637527030,-20.085220249392627, -47.78762490439195,1
HOSPITAL SAO VICENTE DE PAULA DE ARANDU,GVE 16 BOTUCATU,ARANDU,"R. Dezenove de Março, 731 - Centro, Arandu - SP, 18710-000",0,,(14) 3766-1157,-23.084523610104135,-49.05772618807278,1
UBS DE ARAPEÍ DR HAROLDO VIANA RODRIGUES,GVE 33 TAUBATE,ARAPEI,"RUA SERGIO ANTÔNIO GOMES VIANA, 130 - ARAPEÍ - SP, 12870-000",0,,1231151435,-22.671909682011574,-44.4475569196592,1
UPA CENTRAL AMELIA BERNARDINO CUTRALE,GVE 12 ARARAQUARA,ARARAQUARA,"AV MARIA ANTONIA CAMARGO DE OLIVEIRA, 3821 - VILA FERROVIARIA",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ARACNÍDICO, ESCORPIÔNICO E LONÔMICO.",(16) 3334-6900,-21.77325515792944,-48.1673119927017,1
SANTA CASA DE MISERICÓRDIA,GVE 20 PIRACICABA,ARARAS,"PRAÇA DR. NARCISO GOMES, 49",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(19) 3543-5400,-22.357385075836383,-47.379897327608624,1
UBS ANTÔNIO CURADOR,GVE 19 MARILIA,ARCO-IRIS,"RUA FRANCISCO MORALES ESCUBERO - ARCO-ÍRIS - SP, 17630-000",0,,1434771212,-21.772947873263597,-50.46770222640486,0
SANTA CASA DE MISERICORDIA DE AREALVA,GVE 15 BAURU,AREALVA,"R. Jacinto Ribeiro de Barros, 342 - Centro, Arealva - SP, 17160-000",0,,(14) 3296-1222,-22.029434523751945,-48.90795468899212,1
PRONTO SOCORRO MUNICIPAL AREIAS,GVE 33 TAUBATE,AREIAS,"RUA PREFEITO BENEDITO DE OLIVEIRA RAMOS, 32 - AREIAS - SP, 12820-000",0,,1231071157,-22.58129332220797,-44.69374927309594,1
UNIDADE MISTA DE SAUDE DE AREIOPOLIS,GVE 16 BOTUCATU,AREIOPOLIS,"RUA VEREADOR IGNÁCIO LEITE, 800 - NÚCLEO HABITACIONAL COMENDADOR JOSÉ ZILLO, AREIÓPOLIS - SP, 18670-000",0,,1438469808,-22.677089315828574,-48.666362175136264,1
HOSPITAL JULIA RUETE ARIRANHA,GVE 29 SAO JOSE DO RIO PRETO,ARIRANHA,"RUA SIQUEIRA CAMPOS, 29 - CENTRO, ARIRANHA - SP, 15960-000",0,,1735761305,-21.188699024362183,-48.78484468716629,1
HOSPITAL E MATERNIDADE DE ARTUR NOGUEIRA,GVE 17 CAMPINAS,ARTUR NOGUEIRA,"Av. Dr. Fernando Arens, 939 - Santo Amaro, Artur Nogueira - SP, 13160-000",0,,(19) 3827-7000,-22.573139150688093, -47.176215665676615,1
HOSPITAL DALILA FERREIRA BARBOSA,GVE 8 MOGI DAS CRUZES,ARUJA,"R. Maria de Lourdes Maxim, 75 - Jardim Renata, Arujá - SP, 07402-015",0,,(11) 4652-3000,-23.392465239082803,-46.31476855032323,1
UBS DE ASPASIA,GVE 30 JALES,ASPASIA,"AVENIDA BRASIL, 476 - CENTRO, ASPÁSIA - SP, 15763-000",0,,1736648787,-20.161775999761502,-50.72587046098525,0
UPA DE ASSIS,GVE 13 ASSIS,ASSIS,"RUA OSMAR LUCHINI, 670",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(18) 3222-3553 / 3302-6069,-22.646218845120536,-50.40328102151104,1
SANTA CASA DE ATIBAIA,GVE 17 CAMPINAS,ATIBAIA,"PRAÇA DR. MIGUEL VAIRO, 104",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(11) 4411-0062,-23.11425683676962,-46.55003363128676,1
SANTA CASA DE AURIFLAMA,GVE 11 ARACATUBA,AURIFLAMA,"RUA ALFREDO DAINESI, 59-52",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(17) 842-1282,-20.684876427188726,-50.55511434855432,1
CENTRO DE SAUDE DE AVAI,GVE 15 BAURU,AVAI,"PRAÇA MAJOR GASPARINO QUADROS, 460 - AVAÍ - SP, 16680-000",0,,1432871465,-22.147589114379024,-49.338292796543406,1
UNIDADE MISTA DE AVANHANDAVA,GVE 11 ARACATUBA,AVANHANDAVA,"RUA AVANHANDAVA, 269 - AVANHANDAVA - SP, 16360-000",0,,-,-21.458096402820527,-49.95006959086009,1
SANTA CASA DE MISERICÓRDIA DE AVARÉ,GVE 16 BOTUCATU,AVARE,"R. PARAÍBA, Nº 1003 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(14) 3711-9100,-23.10102694554471, -48.928587719645634,1
PRONTO ATENDIMENTO ALCIMINO ASSIS LOURENCO,GVE 29 SAO JOSE DO RIO PRETO,BADY BASSITT,"RUA CASTRO ALVES, 1462 - BADY BASSITT - SP, 15115-000",0,,-,-20.917334524331615,-49.44836442421764,1
CENTRO DE SAUDE III DE BALBINOS,GVE 15 BAURU,BALBINOS,"RUA GABRIEL DANUZIO - BALBINOS - SP, 16640-000",0,,1435831394,-21.899778087748192,-49.35603891783196,0
UNIDADE DE URGENCIA E EMERGENCIA DR LUIZ ALBERTO DO AMARAL,GVE 29 SAO JOSE DO RIO PRETO,BALSAMO,"RUA LOURENÇA DIOGO AYALA, 489 - BÁLSAMO - SP, 15140-000",0,,1732641320,-20.736702611878513,-49.58106201971693,1
UNIDADE MISTA DE SAÚDE MONS CID FRANCA SANTOS,GVE 33 TAUBATE,BANANAL,AV. BOM JESUS 134 - CENTRO - CEP 12.850-000,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(12) 3116-2188 / (12) 3116-3117,-22.681053501430217,-44.319784133151494,1
CENTRO DE SAUDE BARAO DE ANTONINA,GVE 16 BOTUCATU,BARAO DE ANTONINA,"RUA SÃO PAULO - CENTRO, BARÃO DE ANTONINA - SP, 18490-045",0,,1535731296,-23.629008790591673,-49.563804279419394,0
CENTRO DE SAUDE DE BARBOSA,GVE 11 ARACATUBA,BARBOSA,"AVENIDA DONA RICARDINA, 645 - CENTRO, BARBOSA - SP, 16350-000",0,,1836551408,-21.265619478337275,-49.948649990086814,1
IRMANDADE DA SANTA CASA DE MISERICORDIA DE BARIRI,GVE 15 BAURU,BARIRI,"Av. Cel. Antônio José de Carvalho, 409 - Jardim Paraíso, Bariri - SP, 17250-182",0,,(14) 3662-6522,-22.06990941150861,-48.73764774851359,1
HOSPITAL E MATERNIDADE SAO JOSE BARRA BONITA,GVE 15 BAURU,BARRA BONITA,"Rua 14 de Dezembro, 490 - Centro, Barra Bonita - SP, 17340-000",0,,(14) 3604-7114,-22.495058679543348,-48.55591573500805,1
UNIDADE BÁSICA DE SAÚDE GERALDO VITORINO COELHO,GVE 32 ITAPEVA,BARRA DO CHAPEU,"BECO MARIA ISABEL DA ROSA, 40 - CENTRO, BARRA DO CHAPÉU - SP, 18325-000",0,,15996948985,-24.470092923077015,-49.024091723672846,1
PRONTO ATENDIMENTO,GVE 23 REGISTRO,BARRA DO TURVO,"VEREADOR FIRMINO PEDROSO DOS SANTOS, 375 - BAIRRO BOA ESPERANÇA",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(15) 3578-9420,-24.75067787827788,-48.50528579994136,1
SANTA CASA DE MISERICÓRDIA DE BARRETOS,GVE 14 BARRETOS,BARRETOS,AV 23 Nº 1208,1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(17) 3321-2500,-20.559081707190057,-48.57376467554278,1
UNIDADE MISTA DE SAUDE BARRINHA JOSE ATILIO MARCARI,GVE 24 RIBEIRAO PRETO,BARRINHA,"AVENIDA JAMIL SAID SALEH, 777 - JARDIM PAULISTA, BARRINHA - SP, 14860-000",0,,1639439180,-21.190212196441685,-48.160460574354495,1
HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN,GVE 10 OSASCO,BARUERI,"Rua Ângela Mirella, 354 - Jardim Barueri, Barueri - SP, 06463-320",0,,(11) 2575-3200,-23.49641303694033, -46.87239594846886,1
HOSPITAL DE BASTOS,GVE 19 MARILIA,BASTOS,"R. Prof. Paulo Seizi Zakimi, 55 - Centro, Bastos - SP, 17690-000",0,,(14) 3478-1096,-21.92187943086525,-50.73004336386144,1
UPA - BATATAIS,GVE 24 RIBEIRAO PRETO,BATATAIS,"AV. MOACIR DIAS DE MORAIS, 505",1,ESCORPIÔNICO,(16) 3761-9474 / 3761-9499,-20.904353873381954,-47.58775800436872,1
UPA BELA VISTA (CRIANÇAS DE 0 A 14 ANOS),GVE 15 BAURU,BAURU,"RUA MARÇAL DE ARRUDA CAMPOS, Nº 4-45",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, LONÔMICO E ARACNÍDICO.",(14) 3102-1213,-22.308398227794825, -49.08961876014776,1
PRONTO SOCORRO MUNICIPAL CENTRAL (PACIENTES À PARTIR DE 15 ANOS),GVE 15 BAURU,BAURU,"RUA RUBENS ARRUDA, QD. 07, S/N",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO E ARACNÍDICO.",(14) 3104-1160,-22.330609146404548,-49.07801638898293,1
UPA DR. MANOEL JOAQUIM DOS REIS,GVE 14 BARRETOS,BEBEDOURO,"RUA LUIS BRUNELLI, 00 - JARDIM JÚLIA",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(17) 3344-8100,-20.933061204395003, -48.49669539087543,1
UBS DR JOSÉ ROSSETO,GVE 11 ARACATUBA,BENTO DE ABREU,"RUA DR. JOSÉ ROSSETO, 58 - BENTO DE ABREU - SP, 16790-000",0,,1836011321,-21.27110323039812,-50.815541731342954,0
SANTA CASA HOSPITAL JESUS MARIA JOSE,GVE 13 ASSIS,BERNARDINO DE CAMPOS,"Av. Guilherme Arruda Castanho, 469, Bernardino de Campos - SP, 18960-021",0,,(14) 3346-1100,-23.016522410999045,-49.47373056197671,1
HOSPITAL MUNICIPAL DE BERTIOGA,GVE 25 SANTOS,BERTIOGA,PÇA. VICENTE MOLINARI S/Nº,1,"BOTRÓPICO, ARACNÍDICO E ESCORPIÔNICO.",(13) 3319-9040,-23.842720287920923,-46.139784534965194,1
ASSOCIACAO HOSPITALAR BENEFICENTE DO BRASIL,GVE 11 ARACATUBA,BILAC,"Rua 7 de Setembro, 529, Bilac - SP, 16210-000",0,,(18) 3659-1243,-22.207171185758174, -49.650022377345245,1
PRONTO SOCORRO MUNICIPAL,GVE 11 ARACATUBA,BIRIGUI,"RUA LUIZ OBA, 249",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(18) 3638-8580,-21.281146630147973,-50.335243804358,1
PRONTO ATENDIMENTO IRIO TAINO,GVE 8 MOGI DAS CRUZES,BIRITIBA MIRIM,"AVENIDA MARIA JOSÉ DE SIQUEIRA MELO, 682 - JARDIM PAMELA, BIRITIBA MIRIM - SP, 08940-000",0,,-,-23.580155851003216,-46.03990008894373,1
SANTA CASA SAO VICENTE DE PAULO BOA ESPERANCA DO SUL,GVE 12 ARARAQUARA,BOA ESPERANCA DO SUL,"R. Duque de Caxias, 379 - Centro, Boa Esperança do Sul - SP, 14930-000",0,,(16) 3346-1103,-21.987262264674484,-48.386839304336924,1
SANTA CASA DE MISERICORDIA DE BOCAINA,GVE 15 BAURU,BOCAINA,"R. Cerqueira César, 239 - CENTRO, Bocaina - SP, 17240-000",0,,(14) 3666-1190,-22.139674011135092,-48.517431688988864,1
UBS BRUNO NOVAES III,GVE 16 BOTUCATU,BOFETE,"AVENIDA ERNESTO EBÚRNEO, 176-188 - BOFETE - SP, 18590-000",0,,1438831514,-23.103642530672037, -48.26011139173479,0
HOSPITAL SAO LUIZ,GVE 31 SOROCABA,BOITUVA,"Rua Benedita Sanson Labronici, 149 - Chácara Labronci, Boituva - SP, 18550-000",0,,(15) 3363-8833,-23.289049385706384,-47.68090185032655,1
UBS CENTRO ,GVE 17 CAMPINAS,BOM JESUS DOS PERDOES,"RUA DONÁ BÁRBARA CARDOSO - CENTRO, BOM JESUS DOS PERDÕES - SP, 12955-000",0,,1140121040,-23.135954590232053,-46.46564150742895,0
UNIDADE MARIO ORLANDO ANTUNES,GVE 32 ITAPEVA,BOM SUCESSO DE ITARARE,"RUA ANTÔNIO CARLOS RUIVO, 260 - CENTRO, BOM SUCESSO DE ITARARÉ - SP, 18475-000",0,,1535331319,-24.320521388330295,-49.1438416188548,0
CENTRO DE SAUDE DE BORA,GVE 13 ASSIS,BORA,"RUA JOAO MERCI, 150 - CENTRO, BORA",0,,(18)3367-1114,-22.270095351586818,-50.54563171967166,0
PRONTO ATENDIMENTO MUNICIPAL DE BORACEIA,GVE 15 BAURU,BORACEIA,"RUA ANTONIO DE FREITAS PEREIRA,300 - CENTRO, BORACEIA",0,,(14)3295-9106,-22.194560766405356,-48.77835173131551,1
HOSPITAL SAO SEBASTIAO DE BORBOREMA,GVE 12 ARARAQUARA,BORBOREMA,"R. Pedro José Passos, 400 - JAD PRIMAVERA, Borborema - SP, 14955-000",0,,(16) 3266-1011,-21.616324714425566,-49.06879784667623,1
CENTRO DE SAUDE III BOREBI,GVE 15 BAURU,BOREBI,"RUA SETE DE SETEMBRO - CENTRO, BOREBI - SP, 18675-007",0,,1432671121,-22.573676462904302,-48.973891961990574,0
HOSPITAL DAS CLÍNICAS DE BOTUCATU – UNESP,GVE 16 BOTUCATU,BOTUCATU,"DISTRITO DE RUBIÃO JUNIOR, S/Nº",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, LAQUÉTICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(14) 3811-6129,-22.890874087892144,-48.49682863374034,1
HOSPITAL UNIVERSITÁRIO SÃO FRANCISCO,GVE 17 CAMPINAS,BRAGANÇA PAULISTA,"AV. SÃO FRANCISCO DE ASSIS, 218",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(11) 2454-8681,-22.98050125456002,-46.53364891779852,1
UBS III DE BRAUNA,GVE 11 ARACATUBA,BRAUNA,"RUA JOSÉ FERNANDES BRAZ, 302 - BRAÚNA - SP, 16290-000",0,,1836921186,-21.501393547320028,-50.31791807736639,0
UBSF III TANCREDO NEVES BREJO ALEGRE,GVE 11 ARACATUBA,BREJO ALEGRE,"RUA DAS PALMEIRAS, 600 - BREJO ALEGRE - SP, 16265-000
",0,,1836461236,-21.166473859881254,-50.18858910004713,0
UNIDADE MISTA HOSPITALAR DR FAUSTINO DE CASTRO,GVE 24 RIBEIRAO PRETO,BRODOWSKI,"RUA ELIAS BARQUETE, 2 - JARDIM SÃO MANUEL, BRODOWSKI - SP, 14340-000",0,,1636649199,-20.9998165532996,-47.66255140436601,1
HOSPITAL SANTA TEREZINHA,GVE 15 BAURU,BROTAS,"AV. RUI BARBOSA, 703. CENTRO",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO",(14)3653-9100,-22.286225423534567,-48.12219571967101,1
PRONTO ATENDIMENTO MUNICIPAL ÍTALO SANTUCCI,GVE 32 ITAPEVA,BURI,"R. RUI BARBOSA, 158 - CENTRO",1,"ESCORPIÔNICO, ARACNÍDICO.",(15) 3546-1133,-23.752183650979486,-48.606174980953675,1
SANTA CASA DE MISERICÓRDIA SÃO FRANCISCO,GVE 11 ARACATUBA,BURITAMA,"RUA GUILHERME GUERBAS, 353",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(18) 3691-9535,-21.06939088769179,-50.149921104364005,1
CS LUIZ FIOD DE BURITIZAL,GVE 18 FRANCA,BURITIZAL,"RUA EDWARD SARRETA, 500 - BURITIZAL - SP, 14570-000",0,,-,-20.19431890240086,-47.706079892747375,0
CENTRO DE SAUDE III CABRALIA PAULISTA,GVE 15 BAURU,CABRALIA PAULISTA,"AVENIDA MÁRIO AMARAL GURGEL, 660 - CENTRO, CABRÁLIA PAULISTA - SP, 17480-000",0,,1432851151,-22.45957478403152,-49.335598719665704,0
SANTA CASA DE MISERICORDIA DE CABREUVA,GVE 17 CAMPINAS,CABREUVA,"Praça Comendador Martins, S/N - Centro, Cabreúva - SP, 13315-000",0,,(11) 4528-1792,-23.3088597097625, -47.133085613818295,1
HOSPITAL E MATERNIDADE NOSSA SENHORA DA AJUDA,GVE 27 SAO JOSE DOS CAMPOS,CACAPAVA,"RUA DR. PEREIRA DE MATTOS, 63 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(12) 3654-8800,-23.104153117973134,-45.704665261974064,1
SANTA CASA DE MISERICORDIA SAO JOSE,GVE 33 TAUBATE,CACHOEIRA PAULISTA,"R. Sete de Setembro, 122, Cachoeira Paulista - SP, 12630-000",0,,(12) 3103-3444,-22.665242174432475,-45.00577960431594,1
SANTA CASA DE MISERICÓRDIA,GVE 26 SAO JOAO DA BOA VISTA,CACONDE,"R. PADRE DE ANGELIS, 39",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(19) 3662-1711,-21.532449818898773, -46.644484231335376,1
IRMANDADE DA SANTA CASA DE MISERICORDIA DE CAFELANDIA,GVE 15 BAURU,CAFELANDIA,"R. Justino Franco Júnior, 181 - Cafelândia, SP, 16500-000",0,,(14) 3554-1222,-21.811990137094053,-49.59696063502886,1
UNIDADE BASICA DE SAUDE II CAIABU,GVE 21 PRESIDENTE PRUDENTE,CAIABU,"RUA MARIA CLÁUDIA PEDREIRA - CAIABU - SP, 19530-000",0,,1832857004,-22.012161518944186,-51.23573646015692,0
HOSPITAL ESTADUAL DE CAIEIRAS,GVE 9 FRANCO DA ROCHA,CAIEIRAS,"R. Flávio Augusto de Moraes, 100 - Centro, Caieiras - SP, 07700-600",0,,(11) 4445-9000,-23.36652984946945,-46.75056306381657,1
CENTRO DE SAUDE III DE CAIUA,GVE 22 PRESIDENTE VENCESLAU,CAIUA,"RUA GUARANI, 260 - CAIUÁ - SP, 19450-000",0,,1832781105,-21.833226865223757, -51.98802581968495,0
HOSPITAL ENFERMEIRO ANTONIO POLICARPO DE OLIVEIRA,GVE 9 FRANCO DA ROCHA,CAJAMAR,"Av. Bento da Silva Bueno, 202 - Jardim Nova Cajamar, Cajamar - SP, 07793-665",0,,(11) 3135-5521,-23.411601132046236,-46.825086575456574,1
