MUNICIPIO,ID_IBGE,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,LAT_GOOGLE,LON_GOOGLE,LATITUDE,LONGITUDE,ARACNÍDICO,BOTRÓPICO,CROTÁLICO,ELAPÍDICO,ESCORPIÔNICO,LONÔMICO
ARACARIGUAMA,3502754,350275,GVE 31 SOROCABA,PRONTO ATENDIMENTO DE ARACARIGUAMA,"AVENIDA DEZENOVE DE MAIO, 02 - CENTRO, ARAÇARIGUAMA - SP, 18147-000",0,,1,(11) 4136-1010,-23.438.051.323.036.500,-4.706.114.676.637.820,-23.43805,-47.06114,0,0,0,0,0,0
ARACATUBA,3502804,350280,GVE 11 ARACATUBA,SANTA CASA DE MISERICÓRDIA DE ARAÇATUBA,"RUA FLORIANO PEIXOTO, 896 VILA MENDONÇA",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ARACNÍDICO, ESCORPIÔNICO E LONÔMICO.",1,(18) 3607-3000,-21.206.031.581.149.100,-5.042.993.606.602.500,-21.20603,-50.42993,1,1,1,1,1,1
ARACOIABA DA SERRA,3502903,350290,GVE 31 SOROCABA,UNIDADE DE PRONTO ATENDIMENTO DE ARACOIABA DA SERRA,"RUA DR. AFONSO VERGUEIRO, S/N - CENTRO, ARAÇOIABA DA SERRA - SP, 18190-000",0,,1,(15) 3281-7160,-23.505.468.977.881.200,-4.761.822.739.676.630,-23.50546,-47.61822,0,0,0,0,0,0
ARAMINA,3503000,350300,GVE 18 FRANCA,UBS CENTRO DE SAÚDE ARAMINA,"RUA HENRIQUE JORGE HAUCH - ARAMINA - SP, 14550-000",0,,1,(16) 3752-7030,-20.085.387.747.593.800,-4.778.761.822.106.170,-20.08538,-47.78761,0,0,0,0,0,0
ARANDU,3503109,350310,GVE 16 BOTUCATU,HOSPITAL SAO VICENTE DE PAULA DE ARANDU,"R. Dezenove de Março, 731 - Centro, Arandu - SP, 18710-000",0,,1,(14) 3766-1157,-23.132.502.064.590.000,-49.052.225.934.957.900,-23.13250,-49.05222,0,0,0,0,0,0
ARAPEI,3503158,350315,GVE 33 TAUBATE,UBS DE ARAPEÍ DR HAROLDO VIANA RODRIGUES,"RUA SERGIO ANTÔNIO GOMES VIANA, 130 - ARAPEÍ - SP, 12870-000",0,,1,(12) 3115-1435,-2.267.203.572.836.120,-4.444.747.019.170.370,-22.67203,-44.44747,0,0,0,0,0,0
ARARAQUARA,3503208,350320,GVE 12 ARARAQUARA,UPA CENTRAL AMELIA BERNARDINO CUTRALE,"AV MARIA ANTONIA CAMARGO DE OLIVEIRA, 3821 - VILA FERROVIARIA",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ARACNÍDICO, ESCORPIÔNICO E LONÔMICO.",1,(16) 3334-6900,-21.773.463.856.693.800,-481.671.709.881.201,-21.77346,-48.16717,1,1,1,1,1,1
ARARAS,3503307,350330,GVE 20 PIRACICABA,SANTA CASA DE MISERICÓRDIA - ARARAS,"PRAÇA DR. NARCISO GOMES, 49",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(19) 3543-5400,-22.357.745.611.811.100,-4.738.001.236.204.870,-22.35774,-47.38001,1,1,1,0,1,0
ARCO IRIS,3503356,350335,GVE 19 MARILIA,UBS ANTÔNIO CURADOR,"RUA FRANCISCO MORALES ESCUBERO - ARCO-ÍRIS - SP, 17630-000",0,,0,(14) 3477-1212,-2.177.296.857.206.750,-5.046.767.489.335.420,-21.77296,-50.46767,0,0,0,0,0,0
AREALVA,3503406,350340,GVE 15 BAURU,SANTA CASA DE MISERICORDIA DE AREALVA,"R. Jacinto Ribeiro de Barros, 342 - Centro, Arealva - SP, 17160-000",0,,1,(14) 3296-1222,-2.202.968.080.588.570,-48.908.019.956.777.300,-22.02968,-48.90801,0,0,0,0,0,0
AREIAS,3503505,350350,GVE 33 TAUBATE,PRONTO SOCORRO MUNICIPAL AREIAS,"RUA PREFEITO BENEDITO DE OLIVEIRA RAMOS, 32 - AREIAS - SP, 12820-000",0,,1,(12) 3107-1157,-22.581.482.826.585.800,-4.469.373.674.087.170,-22.58148,-44.69373,0,0,0,0,0,0
AREIOPOLIS,3503604,350360,GVE 16 BOTUCATU,UNIDADE MISTA DE SAUDE DE AREIOPOLIS,"RUA VEREADOR IGNÁCIO LEITE, 800 - NÚCLEO HABITACIONAL COMENDADOR JOSÉ ZILLO, AREIÓPOLIS - SP, 18670-000",0,,1,(14) 3846-9808,-22.677.140.886.993.500,-4.866.652.172.212.270,-22.67714,-48.66652,0,0,0,0,0,0
ARIRANHA,3503703,350370,GVE 29 SAO JOSE DO RIO PRETO,HOSPITAL JULIA RUETE ARIRANHA,"RUA SIQUEIRA CAMPOS, 29 - CENTRO, ARIRANHA - SP, 15960-000",0,,1,(17) 3576-1305,-21.188.850.044.656.800,-48.784.883.306.304.800,-21.18885,-48.78488,0,0,0,0,0,0
ARTUR NOGUEIRA,3503802,350380,GVE 17 CAMPINAS,HOSPITAL E MATERNIDADE DE ARTUR NOGUEIRA,"Av. Dr. Fernando Arens, 939 - Santo Amaro, Artur Nogueira - SP, 13160-000",0,,1,(19) 3827-7000,-22.576.858.000.981.900,-4.717.739.140.034.440,-22.57685,-47.17739,0,0,0,0,0,0
ARUJA,3503901,350390,GVE 8 MOGI DAS CRUZES,HOSPITAL DALILA FERREIRA BARBOSA,"R. Maria de Lourdes Maxim, 75 - Jardim Renata, Arujá - SP, 07402-015",0,,1,(11) 4652-3000,-2.339.263.411.695.920,-46.314.648.456.890.600,-23.39263,-46.31464,0,0,0,0,0,0
ASPASIA,3503950,350395,GVE 30 JALES,UBS DE ASPASIA,"AVENIDA BRASIL, 476 - CENTRO, ASPÁSIA - SP, 15763-000",0,,0,(17) 3664-8787,-2.016.203.935.774.920,-5.072.577.383.495.620,-20.16203,-50.72577,0,0,0,0,0,0
ASSIS,3504008,350400,GVE 13 ASSIS,UPA DE ASSIS,"RUA OSMAR LUCHINI, 670",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(18) 3222-3553 / 3302-6069,-22.646.400.182.594.500,-5.040.315.130.127.080,-22.64640,-50.40315,1,1,1,1,1,1
ATIBAIA,3504107,350410,GVE 17 CAMPINAS,SANTA CASA DE ATIBAIA,"PRAÇA DR. MIGUEL VAIRO, 104",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(11) 4411-0062,-2.311.461.630.314.000,-46.550.016.451.572.800,-23.11461,-46.55001,1,1,1,0,1,0
AURIFLAMA,3504206,350420,GVE 11 ARACATUBA,SANTA CASA DE AURIFLAMA,"RUA ALFREDO DAINESI, 59-52",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",1,(17) 842-1282,-2.068.516.829.010.580,-505.550.362.561.313,-20.68516,-50.55503,1,1,1,0,1,0
AVAI,3504305,350430,GVE 15 BAURU,CENTRO DE SAUDE DE AVAI,"PRAÇA MAJOR GASPARINO QUADROS, 460 - AVAÍ - SP, 16680-000",0,,1,(14) 3287-1465,-2.215.668.182.454.460,-4.933.101.423.390.690,-22.15668,-49.33101,0,0,0,0,0,0
AVANHANDAVA,3504404,350440,GVE 11 ARACATUBA,UNIDADE MISTA DE AVANHANDAVA,"RUA AVANHANDAVA, 269 - AVANHANDAVA - SP, 16360-000",0,,1,-,-2.145.821.631.834.650,-4.994.994.031.409.820,-21.45821,-49.94994,0,0,0,0,0,0
AVARE,3504503,350450,GVE 16 BOTUCATU,SANTA CASA DE MISERICÓRDIA DE AVARÉ,"R. PARAÍBA, Nº 1003 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(14) 3711-9100,-23.101.167.621.672.800,-48.928.515.154.677.000,-23.10116,-48.92851,1,1,1,0,1,0
BADY BASSITT,3504602,350460,GVE 29 SAO JOSE DO RIO PRETO,PRONTO ATENDIMENTO ALCIMINO ASSIS LOURENCO,"RUA CASTRO ALVES, 1462 - BADY BASSITT - SP, 15115-000",0,,1,-,-2.091.741.016.047.050,-4.944.842.845.912.950,-20.91741,-49.44842,0,0,0,0,0,0
BALBINOS,3504701,350470,GVE 15 BAURU,CENTRO DE SAUDE III DE BALBINOS,"RUA GABRIEL DANUZIO - BALBINOS - SP, 16640-000",0,,0,(14) 3583-1394,-21.899.983.952.849.200,-4.935.609.298.748.540,-21.89998,-49.35609,0,0,0,0,0,0
BALSAMO,3504800,350480,GVE 29 SAO JOSE DO RIO PRETO,UNIDADE DE URGENCIA E EMERGENCIA DR LUIZ ALBERTO DO AMARAL,"RUA LOURENÇA DIOGO AYALA, 489 - BÁLSAMO - SP, 15140-000",0,,1,(17) 3264-1320,-2.073.680.040.798.500,-4.958.102.859.692.690,-20.73680,-49.58102,0,0,0,0,0,0
BANANAL,3504909,350490,GVE 33 TAUBATE,UNIDADE MISTA DE SAÚDE MONS CID FRANCA SANTOS,AV. BOM JESUS 134 - CENTRO - CEP 12.850-000,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",1,(12) 3116-2188 / (12) 3116-3117,-2.268.130.820.266.650,-44.319.791.789.947.500,-22.68130,-44.31979,1,1,1,0,1,0
BARAO DE ANTONINA,3505005,350500,GVE 16 BOTUCATU,CENTRO DE SAUDE BARAO DE ANTONINA,"RUA SÃO PAULO - CENTRO, BARÃO DE ANTONINA - SP, 18490-045",0,,0,(15) 3573-1296,-23.629.279.850.628.900,-495.638.956.268.088,-23.62927,-49.56389,0,0,0,0,0,0
BARBOSA,3505104,350510,GVE 11 ARACATUBA,CENTRO DE SAUDE DE BARBOSA,"AVENIDA DONA RICARDINA, 645 - CENTRO, BARBOSA - SP, 16350-000",0,,1,(18) 3655-1408,-21.265.788.375.651.300,-4.994.868.085.470.530,-21.26578,-49.94868,0,0,0,0,0,0
BARIRI,3505203,350520,GVE 15 BAURU,IRMANDADE DA SANTA CASA DE MISERICORDIA DE BARIRI,"Av. Cel. Antônio José de Carvalho, 409 - Jardim Paraíso, Bariri - SP, 17250-182",0,,1,(14) 3662-6522,-2.207.003.210.805.320,-48.737.615.245.779.700,-22.07003,-48.73761,0,0,0,0,0,0
BARRA BONITA,3505302,350530,GVE 15 BAURU,HOSPITAL E MATERNIDADE SAO JOSE BARRA BONITA,"Rua 14 de Dezembro, 490 - Centro, Barra Bonita - SP, 17340-000",0,,1,(14) 3604-7114,-22.495.216.425.290.500,-48.555.855.571.899.200,-22.49521,-48.55585,0,0,0,0,0,0
BARRA DO CHAPEU,3505351,350535,GVE 32 ITAPEVA,UNIDADE BÁSICA DE SAÚDE GERALDO VITORINO COELHO,"BECO MARIA ISABEL DA ROSA, 40 - CENTRO, BARRA DO CHAPÉU - SP, 18325-000",0,,1,(15) 9969-48985,-2.447.076.724.123.620,-4.902.430.289.872.500,-24.47076,-49.02430,0,0,0,0,0,0
BARRA DO TURVO,3505401,350540,GVE 23 REGISTRO,PRONTO ATENDIMENTO - BARRA DO TURVO,"VEREADOR FIRMINO PEDROSO DOS SANTOS, 375 - BAIRRO BOA ESPERANÇA",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",1,(15) 3578-9420,-24.751.013.098.738.600,-4.850.516.176.610.070,-24.75101,-48.50516,1,1,1,0,1,0
BARRETOS,3505500,350550,GVE 14 BARRETOS,SANTA CASA DE MISERICÓRDIA DE BARRETOS,AV 23 Nº 1208,1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(17) 3321-2500,-2.055.923.262.136.420,-4.857.377.275.666.070,-20.55923,-48.57377,1,1,1,1,1,1
BARRINHA,3505609,350560,GVE 24 RIBEIRAO PRETO,UNIDADE MISTA DE SAUDE BARRINHA JOSE ATILIO MARCARI,"AVENIDA JAMIL SAID SALEH, 777 - JARDIM PAULISTA, BARRINHA - SP, 14860-000",0,,1,(16) 3943-9180,-21.194.179.472.413.300,-48.159.378.988.281.600,-21.19417,-48.15937,0,0,0,0,0,0
BARUERI,3505708,350570,GVE 10 OSASCO,HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN,"Rua Ângela Mirella, 354 - Jardim Barueri, Barueri - SP, 06463-320",0,,1,(11) 2575-3200,-23.496.638.988.288.300,-4.687.233.777.863.860,-23.49663,-46.87233,0,0,0,0,0,0
BASTOS,3505807,350580,GVE 19 MARILIA,HOSPITAL DE BASTOS,"R. Prof. Paulo Seizi Zakimi, 55 - Centro, Bastos - SP, 17690-000",0,,1,(14) 3478-1096,-21.922.010.646.881.600,-5.072.993.206.641.540,-21.92201,-50.72993,0,0,0,0,0,0
BATATAIS,3505906,350590,GVE 24 RIBEIRAO PRETO,UPA - BATATAIS,"AV. MOACIR DIAS DE MORAIS, 505",1,ESCORPIÔNICO,1,(16) 3761-9474 / 3761-9499,-2.090.450.378.526.590,-4.758.797.290.859.630,-20.90450,-47.58797,0,0,0,0,1,0
BAURU,3506003,350600,GVE 15 BAURU,UPA BELA VISTA (CRIANÇAS DE 0 A 14 ANOS),"RUA MARÇAL DE ARRUDA CAMPOS, Nº 4-45",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, LONÔMICO E ARACNÍDICO.",1,(14) 3102-1213,-22.308.543.292.497.100,-49.089.633.839.880.900,-22.30854,-49.08963,1,1,1,1,1,1
BAURU,3506003,350600,GVE 15 BAURU,PRONTO SOCORRO MUNICIPAL CENTRAL (PACIENTES À PARTIR DE 15 ANOS),"RUA RUBENS ARRUDA, QD. 07, S/N",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO E ARACNÍDICO.",1,(14) 3104-1160,-2.233.082.317.890.930,-4.907.806.631.311.870,-22.33082,-49.07806,1,1,1,1,1,0
BEBEDOURO,3506102,350610,GVE 14 BARRETOS,UPA DR. MANOEL JOAQUIM DOS REIS,"RUA LUIS BRUNELLI, 00 - JARDIM JÚLIA",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(17) 3344-8100,-20.934.659.196.748.200,-4.849.657.562.204.320,-20.93465,-48.49657,1,1,1,0,1,1
BENTO DE ABREU,3506201,350620,GVE 11 ARACATUBA,UBS DR JOSÉ ROSSETO,"RUA DR. JOSÉ ROSSETO, 58 - BENTO DE ABREU - SP, 16790-000",0,,0,(18) 3601-1321,-21.271.350.704.923.800,-50.815.541.570.301.600,-21.27135,-50.81554,0,0,0,0,0,0
BERNARDINO DE CAMPOS,3506300,350630,GVE 13 ASSIS,SANTA CASA HOSPITAL JESUS MARIA JOSE,"Av. Guilherme Arruda Castanho, 469, Bernardino de Campos - SP, 18960-021",0,,1,(14) 3346-1100,-2.301.676.777.907.330,-4.947.370.447.403.620,-23.01676,-49.47370,0,0,0,0,0,0
BERTIOGA,3506359,350635,GVE 25 SANTOS,HOSPITAL MUNICIPAL DE BERTIOGA,PÇA. VICENTE MOLINARI S/Nº,1,"BOTRÓPICO, ARACNÍDICO E ESCORPIÔNICO.",1,(13) 3319-9040,-23.842.931.802.505.200,-4.613.968.211.701.570,-23.84293,-46.13968,1,1,0,0,1,0
BILAC,3506409,350640,GVE 11 ARACATUBA,ASSOCIACAO HOSPITALAR BENEFICENTE DO BRASIL,"Rua 7 de Setembro, 529, Bilac - SP, 16210-000",0,,1,(18) 3659-1243,-21.405.531.752.394.000,-5.047.194.115.208.690,-21.40553,-50.47194,0,0,0,0,0,0
BIRIGUI,3506508,350650,GVE 11 ARACATUBA,PRONTO SOCORRO MUNICIPAL - BIRIGUI,"RUA LUIZ OBA, 249",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",1,(18) 3638-8580,-21.281.332.242.135.100,-5.033.525.900.341.430,-21.28133,-50.33525,1,1,1,0,1,0
BIRITIBA MIRIM,3506607,350660,GVE 8 MOGI DAS CRUZES,PRONTO ATENDIMENTO IRIO TAINO,"AVENIDA MARIA JOSÉ DE SIQUEIRA MELO, 682 - JARDIM PAMELA, BIRITIBA MIRIM - SP, 08940-000",0,,1,-,-23.580.298.860.311.500,-4.603.992.627.622.720,-23.58029,-46.03992,0,0,0,0,0,0
BOA ESPERANCA DO SUL,3506706,350670,GVE 12 ARARAQUARA,SANTA CASA SAO VICENTE DE PAULO BOA ESPERANCA DO SUL,"R. Duque de Caxias, 379 - Centro, Boa Esperança do Sul - SP, 14930-000",0,,1,(16) 3346-1103,-21.987.527.897.639.300,-48.386.824.179.157.900,-21.98752,-48.38682,0,0,0,0,0,0
BOCAINA,3506805,350680,GVE 15 BAURU,SANTA CASA DE MISERICORDIA DE BOCAINA,"R. Cerqueira César, 239 - CENTRO, Bocaina - SP, 17240-000",0,,1,(14) 3666-1190,-22.139.881.361.790.300,-4.851.748.363.913.170,-22.13988,-48.51748,0,0,0,0,0,0
